,Growth,Discount,Risk_Premium
1987-11-01,-0.00042717009904610914,2.0885840588832703,1.4512764974259154
1987-12-01,-0.09448672387569268,2.0424291425278054,1.4243739999705889
1988-01-01,-0.24371371715305445,1.8034651478147645,1.3839642495741167
1988-02-01,-0.2905167441922173,1.5033936559469394,1.224849970740456
1988-03-01,-0.30945530134488686,1.6222075398705862,1.3325035624664288
1988-04-01,-0.22185018489719788,1.7908050540480758,1.3180663513087831
1988-05-01,-0.14333095714829167,1.9396334341913644,1.276404662981964
1988-06-01,-0.22958612933707884,1.8230955900312105,1.2656477192453344
1988-07-01,-0.18315922986311087,1.8968958038788017,1.2618647621031807
1988-08-01,-0.14148310768960964,1.985148720100842,1.2520693219210965
1988-09-01,-0.20040461560113002,1.7902055188537334,1.1676408830903504
1988-10-01,-0.2891817075232325,1.677363680608968,1.1787489212128
1988-11-01,-0.2268738036779571,1.7410395392415556,1.1322734509299262
1988-12-01,-0.1887866180426811,1.86643318863946,1.202455852985381
1989-01-01,-0.19627634417258857,1.894822686195936,1.2528369701373783
1989-02-01,-0.2558308864090526,1.960483452433738,1.360095750145329
1989-03-01,-0.3128940439528472,2.039518957928564,1.4346831936182474
1989-04-01,-0.4694660538406873,1.9259346026276318,1.507574812710552
1989-05-01,-0.4415581582966788,1.783904180560344,1.4429442072343055
1989-06-01,-0.33525825557733474,1.4774556311382532,1.200726012922286
1989-07-01,-0.32252421141896065,1.3815775614910668,1.1839603912039367
1989-08-01,-0.35240850477881275,1.5325607028338362,1.3797485294150726
1989-09-01,-0.30632448314779154,1.6403252423128465,1.4520919156182481
1989-10-01,-0.33521448845194435,1.5316676960453746,1.4142034977189657
1989-11-01,-0.4489268137029727,1.3906718096771415,1.3874506650876863
1989-12-01,-0.5814994099833828,1.377436907329493,1.5053762088643439
1990-01-01,-0.4940497231337096,1.6620106895250597,1.6439188354787841
1990-02-01,-0.43728886397641475,1.860858463147479,1.7372405542732223
1990-03-01,-0.5911908754541859,1.9567423139628626,1.9512156747613885
1990-04-01,-0.6780170787182186,2.071052921736517,2.095826290066123
1990-05-01,-0.797573845641318,2.066593885757016,2.2127479574475046
1990-06-01,-0.9279896621326857,1.885790156654358,2.21177286823902
1990-07-01,-0.9180619401846518,1.876752737405715,2.1940450275674435
1990-08-01,-0.7691367301532053,2.0122234309045046,2.1123737030250336
1990-09-01,-0.6176998513079639,2.0955572075272157,2.022237963185921
1990-10-01,-0.5216973488795947,1.99044864630406,1.8723303123175625
1990-11-01,-0.5449670851495229,1.8043521149456045,1.7949489879876503
1990-12-01,-0.6496898023341748,1.6161758334396572,1.7820912933626138
1991-01-01,-0.8169505041976984,1.568052468771083,1.866882565629683
1991-02-01,-1.1724492941307596,1.4303650595925648,2.1090696356935563
1991-03-01,-1.2220127019592186,1.6191100825329803,2.3004672037208285
