,beta_growth,beta_discount,beta_risk_premium,P_trace
1977-05-01,-0.025286580329331607,-0.012408874208365669,0.02095429610012918,0.038341259963824634
1977-06-01,-0.024368269326914965,-0.012279531148664098,0.021526770790853748,0.03999500750066764
1977-07-01,-0.02908871468107057,-0.009235638338374447,0.020839521296628378,0.03693252409780239
1977-08-01,-0.03891851320185471,0.0007937094579427689,0.020619326722010382,0.03429128334827016
1977-09-01,-0.030608901181032176,-0.011411436213952105,0.022172211656938348,0.034335763471343386
1977-10-01,-0.027224600929977198,-0.01755021642737974,0.026461441073329546,0.03535593835189316
1977-11-01,-0.027330750594053623,-0.01710457195766772,0.026291158345940722,0.03520484078012229
1977-12-01,-0.030590939189612847,-0.014660513182556886,0.024912220519191702,0.037077285587512346
1978-01-01,-0.03101358008098425,-0.014355576530781037,0.02462796425383382,0.03899794413282222
1978-02-01,-0.01495507426172775,-0.027782965726141105,0.0308482649019778,0.04091735925578605
1978-03-01,-0.0023926494423650996,-0.057419057175023595,0.0249946182878825,0.04166095712939205
1978-04-01,-0.0004424470834572024,-0.06225954468365488,0.02540180694859858,0.043009805281698746
1978-05-01,-0.007062489411140637,-0.047093482771565706,0.022986187869987542,0.04454038351274203
1978-06-01,-0.007917029998160567,-0.046612274233981135,0.023190504712490477,0.046291401284135836
1978-07-01,-0.008516414440679201,-0.046241532655191285,0.022786025368610182,0.04817939665873758
1978-08-01,-0.01401350156313931,-0.04588621124772058,0.01970775737977671,0.04980519154687679
1978-09-01,-0.03907167901416563,-0.04152980868970619,-0.0033236870119166123,0.051403801299502234
1978-10-01,-0.04319895634795213,-0.04158211283821768,-0.005094997042452198,0.05308226262768521
1978-11-01,-0.024859686452423778,-0.027362734531443528,0.014553456626718995,0.05262535535442442
1978-12-01,0.004004874818217319,-0.018427432617886517,0.006707099584718665,0.052816157408410516
1979-01-01,0.01396537531412694,-0.016803386760409177,0.005992702089044102,0.054147689734057224
1979-02-01,0.0118623565615332,-0.016720429091302964,0.0055174893189409635,0.05600963597551744
1979-03-01,0.010110406295711466,-0.017662646255592624,0.002909731015778054,0.056715645771610576
1979-04-01,0.010414597776360345,-0.017292081287267103,0.0038845930581716762,0.05612225373819599
1979-05-01,0.00965137999932095,-0.018489981985187247,0.0018287309497514457,0.056021900103165684
1979-06-01,-0.009315994770567444,-0.013662495973376184,0.05822367142959546,0.048900529998505915
1979-07-01,-0.009070269210306769,-0.011442525270332606,0.06363769538951959,0.04975363792992863
1979-08-01,-0.009876274866950887,-0.00435958723002315,0.04675920061861136,0.05090588079262504
1979-09-01,-0.01554564966201979,0.023613805193134822,0.02631186432592327,0.05104133178877403
1979-10-01,-0.01553231592416618,0.021564112899170262,0.02713348413880663,0.047414239367730066
1979-11-01,-0.01989347428539989,0.0031217122338408135,0.05228044101944543,0.047704344985951504
1979-12-01,-0.034889288048307064,-0.0007020735090106302,0.08617346687204933,0.04660777285411048
1980-01-01,0.00871931428884775,0.012741294733297064,0.021186594901187808,0.04494063683410302
1980-02-01,0.03622403777427467,0.014488610383162338,-0.020570577340975962,0.044781620695612735
1980-03-01,0.04120235652555661,0.012878388201279555,-0.03164004476655055,0.04585541929875406
1980-04-01,0.012901170613014962,0.0033902635979816236,0.019878234488437452,0.047022122723628886
1980-05-01,-0.026998686547087668,-0.04279000857696927,0.06357111509805133,0.045913974072104596
1980-06-01,-0.028183413196441433,-0.062162118178931795,0.06670490489139377,0.03341421474529671
1980-07-01,-0.003971158678683178,-0.05825904858001864,0.05309878407636904,0.03018908510723894
1980-08-01,0.006669867102704551,-0.06058413429982953,0.04728192668472427,0.029495487990762126
1980-09-01,0.003738390834543205,-0.05652555344205507,0.050182944457373445,0.03008646604152892
1980-10-01,0.004514950898927246,-0.06351775473771477,0.04479742563814488,0.031232636038447194
1980-11-01,0.006669164727387166,-0.06788050509746274,0.034893487244718274,0.03317561676726941
1980-12-01,0.012114493554047437,-0.06753227173792432,0.01152698582649105,0.03511487503434025
1981-01-01,0.012148751636358921,-0.06442923236018086,0.017616072538127588,0.03690644604653878
1981-02-01,0.011892900701529409,-0.06116949895510097,0.022855406149149358,0.03870233448460279
1981-03-01,0.00930974637068706,-0.05691131010672608,0.028235999007839883,0.0405563676592753
1981-04-01,0.011198505258938637,-0.05960605222485692,0.025650074867307183,0.04232895995879047
1981-05-01,0.012792768107101596,-0.06405704437510024,0.024563847092136708,0.04280672497514777
1981-06-01,0.013555462426188308,-0.03166458814598066,0.023494511606673804,0.039643766419469734
1981-07-01,0.0029526626806183516,-0.05305345991909251,0.008357043874354606,0.04046392145472812
1981-08-01,0.0055686574769469276,-0.04953371819616315,0.010245935659143246,0.03992994809269486
1981-09-01,0.009719509703174539,-0.045324598219778335,0.0131669732045894,0.03959274405685283
1981-10-01,-0.01179149995826201,-0.024593856806788474,0.024997307510081862,0.04117742666870208
