series,r2_spx,beta_spx,p_value,corr_spx,n_obs,sig,r2_growth,r2_discount,r2_riskprem,r2_gap,assigned_bucket,assignment_method,passes_filter
L0_financial_conditions,0.0007,0.0015,0.8266,0.026,75,,0.0,0.0,0.0,0.0,UNUSED,failed_filter,False
L2_nfci,0.0007,0.0015,0.8266,0.026,75,,0.0,0.0,0.0,0.0,UNUSED,failed_filter,False
L2_corp_debt_gdp_ratio,0.0005,-0.0487,0.8452,-0.022,79,,0.0,0.0,0.0,0.0,UNUSED,failed_filter,False
L0_unit_labor_cost,0.0005,-0.0001,0.8414,-0.023,79,,0.0,0.0,0.0,0.0,UNUSED,failed_filter,False
L4_corp_gva_gdp_ratio,0.0004,-792.54,0.8546,-0.021,79,,0.0,0.0,0.0,0.0,UNUSED,failed_filter,False
L1_median_weekly_yoy,0.0003,-0.0672,0.9117,-0.019,38,,0.0,0.0,0.0,0.0,UNUSED,failed_filter,False
L3_inv_gdp_ratio,0.0003,0.1096,0.8852,0.017,79,,0.0,0.0,0.0,0.0,UNUSED,failed_filter,False
L1_ahe_yoy,0.0002,0.0519,0.898,0.015,79,,0.0,0.0,0.0,0.0,UNUSED,failed_filter,False
L0_energy_cpi,0.0001,-0.0,0.9439,-0.008,79,,0.0,0.0,0.0,0.0,UNUSED,failed_filter,False
L3_interest_gdp_ratio,0.0,-0.0302,0.9778,-0.003,79,,0.0,0.0,0.0,0.0,UNUSED,failed_filter,False
L2_corp_bond_debt_gdp_ratio,0.0,-0.0152,0.975,-0.004,79,,0.0,0.0,0.0,0.0,UNUSED,failed_filter,False
